crop;zone;crop_sequence_type;crop_management_strategy;crop_yield;herbicides_TFI;fungicides_TFI;insecticides_TFI;other_TFI;TFI;bio_TFI;total_N_rate;N_balance;irrigation_rate;livestock_density;milk_production;meat_production;gross_product;gross_product_livestock_incl;variable_cost;mechanization_cost;livestock_cost;gross_margin;gross_margin_livestock_incl;net_margin;net_margin_livestock_incl;total_fuel_cons;total_energy_cost;total_energy_product;energy_efficiency;number_operations;working_time;GHG_emissions;GHG_emissions_livestock_incl
lentil;mediterranean_region;crop_sequence_organic_dry_field_crops;N3;0,7;0,0;0,0;0,0;0,0;0,0;0;0;-8;0;0;0;0;938;0;377;262;0;561;-377;299;-639;99;3,9;12;302;9,5;4,4;0,3;0,3
soft_wheat;eastern_massif_central_zone;crop_sequence_with_corn;Average conventionnal;6,4;1,2;0,8;0,1;0,1;2,2;0;150;56;13;0;0;0;1024;0;404;225;0;620;-404;396;-628;73;11,7;101;867;10,5;3,8;1,6;1,6
soft_wheat;eastern_massif_central_zone;crop_sequence_with_corn;N0;6,5;2,1;1,6;0,8;0,3;4,8;0;150;54;13;0;0;0;1040;0;508;245;0;532;-508;287;-753;76;11,8;103;872;13,4;4,1;1,6;1,6
soft_wheat;eastern_massif_central_zone;crop_sequence_with_corn;N1;6,4;2,1;1,1;0,4;0,1;3,7;0,1;150;56;13;0;0;0;1024;0;475;239;0;549;-475;310;-714;75;11,7;101;861;12,6;4,0;1,6;1,6
soft_wheat;eastern_massif_central_zone;crop_sequence_with_corn;N2a;5,8;1,8;0,7;0,2;0,0;2,7;0,1;125;41;13;0;0;0;928;0;406;233;0;522;-406;289;-639;74;10,4;92;884;11,5;4,0;1,4;1,4
soft_wheat;eastern_massif_central_zone;crop_sequence_with_corn;N2c;5,8;1,5;0,7;0,2;0,0;2,4;0,1;125;41;13;0;0;0;928;0;391;230;0;537;-391;307;-621;74;10,4;92;885;11,2;3,9;1,4;1,4
soft_wheat;eastern_massif_central_zone;crop_sequence_with_oilseed_rape;Average conventionnal;6,4;1,6;1,0;0,1;0,1;2,8;0;150;63;0;0;0;0;1024;0;408;233;0;616;-408;383;-641;79;11,3;101;893;11,3;3,8;1,6;1,6
soft_wheat;eastern_massif_central_zone;crop_sequence_with_oilseed_rape;N0;6,5;2,5;1,8;0,8;0,4;5,5;0;150;62;0;0;0;0;1040;0;515;254;0;525;-515;271;-769;82;11,4;103;897;14,4;4,1;1,6;1,6
soft_wheat;eastern_massif_central_zone;crop_sequence_with_oilseed_rape;N1;6,4;2,5;1,3;0,4;0,1;4,3;0,2;150;63;0;0;0;0;1024;0;482;251;0;542;-482;291;-733;82;11,4;101;885;13,9;4,0;1,6;1,6
soft_wheat;eastern_massif_central_zone;crop_sequence_with_oilseed_rape;N2a;5,8;2,0;0,7;0,2;0,0;2,9;0,2;150;74;0;0;0;0;928;0;421;257;0;507;-421;250;-678;91;11,8;92;778;13,0;4,3;1,6;1,6
